"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH","ESTATUS"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","ADX","Camiones ligeros","SUV's","NACIONAL",1,25,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","INTEGRA","Automóviles","De Lujo","IMPORTADO",66,9,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",40,17,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","NSX","Automóviles","Deportivos","IMPORTADO",66,0,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,18,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,1,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Alfa Romeo","Giulia","Automóviles","De Lujo","IMPORTADO",124,3,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Alfa Romeo","Stelvio","Automóviles","De Lujo","IMPORTADO",124,7,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Alfa Romeo","TONALE","Camiones ligeros","SUV's","IMPORTADO",124,5,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A1*","Automóviles","De Lujo","IMPORTADO",64,37,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,51,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A3 Sedán","Automóviles","De Lujo","IMPORTADO",4,88,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,2,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A5 Coupe","Automóviles","De Lujo","IMPORTADO",4,1,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A5 Sedán","Automóviles","De Lujo","IMPORTADO",4,78,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A5 Sportback","Automóviles","Deportivos","IMPORTADO",4,0,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A6","Automóviles","De Lujo","IMPORTADO",4,7,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","A7","Automóviles","De Lujo","IMPORTADO",4,1,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q 3","Camiones ligeros","SUV's","IMPORTADO",94,18,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q2","Automóviles","De Lujo","IMPORTADO",62,28,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q3 SB","Camiones ligeros","SUV's","IMPORTADO",94,82,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q5","Camiones ligeros","SUV's","NACIONAL",1,203,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q6 etron","Automóviles","De Lujo","IMPORTADO",4,6,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q7-","Camiones ligeros","SUV's","IMPORTADO",62,18,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Audi","Q8","Camiones ligeros","SUV's","IMPORTADO",4,29,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Auteco","D2S 150","Automóviles","Subcompactos","IMPORTADO",43,0,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Auteco","D2S 250","Automóviles","Subcompactos","IMPORTADO",43,0,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Auteco","E-TRUCK B2.0T","Camiones ligeros","Pick Ups","IMPORTADO",43,2,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Auteco","E-VAN S1.0T PRO","Camiones ligeros","Minivans","IMPORTADO",43,0,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2026,"01","Auteco","RICH 6 EV","Camiones ligeros","Pick Ups","IMPORTADO",43,10,"Cifras Revisadas"
