"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH","ESTATUS"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Acura","ILX","Automóviles","De Lujo","IMPORTADO",66,2,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",66,11,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Acura","NSX","Automóviles","Deportivos","IMPORTADO",66,0,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,42,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,9,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Alfa Romeo","Alfa Romeo Giulietta Progression Manual","Automóviles","Deportivos","IMPORTADO",124,12,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Alfa Romeo","Alfa Romeo Mito Quadrifoglio Verde Manual","Automóviles","Deportivos","IMPORTADO",124,0,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Alfa Romeo","Giulia","Automóviles","De Lujo","IMPORTADO",124,1,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Alfa Romeo","Stelvio","Automóviles","De Lujo","IMPORTADO",124,1,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Alfa Romeo","4C","Automóviles","De Lujo","IMPORTADO",124,0,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A1*","Automóviles","De Lujo","IMPORTADO",64,79,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,26,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,79,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A5 Coupe","Automóviles","De Lujo","IMPORTADO",4,25,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A5 Sportback","Automóviles","Deportivos","IMPORTADO",4,64,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A6","Automóviles","De Lujo","IMPORTADO",4,7,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A7","Automóviles","De Lujo","IMPORTADO",4,4,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","A8","Automóviles","De Lujo","IMPORTADO",4,0,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","e-tron","Camiones ligeros","SUV's","IMPORTADO",23,3,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q 3","Camiones ligeros","SUV's","IMPORTADO",94,99,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q2","Automóviles","De Lujo","IMPORTADO",62,6,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q3 SB","Camiones ligeros","SUV's","IMPORTADO",94,56,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q5","Camiones ligeros","SUV's","NACIONAL",1,118,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q7-","Camiones ligeros","SUV's","IMPORTADO",62,26,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","Q8","Camiones ligeros","SUV's","IMPORTADO",4,24,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","R8","Automóviles","De Lujo","IMPORTADO",4,1,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Audi","TT Coupe","Automóviles","De Lujo","IMPORTADO",94,10,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","Bentley","Flying Spur","Automóviles","De Lujo","IMPORTADO",181,1,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","BMW","i3","Automóviles","De Lujo","IMPORTADO",4,2,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","BMW","i8","Automóviles","Deportivos","IMPORTADO",4,1,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","BMW","Serie 1 Hatch","Automóviles","De Lujo","IMPORTADO",4,24,"Cifras Definitivas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2021,"01","BMW","Serie 1 Sedán","Automóviles","De Lujo","IMPORTADO",4,52,"Cifras Definitivas"
