"PROD_EST","COBERTURA","ANIO","ID_MES","MARCA","MODELO","TIPO","SEGMENTO","ORIGEN","ID_PAIS_ORIGEN","UNI_VEH","ESTATUS"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Acura","INTEGRA","Automóviles","De Lujo","IMPORTADO",66,14,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Acura","Mdx","Camiones ligeros","SUV's","IMPORTADO",66,19,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Acura","Rdx","Camiones ligeros","SUV's","IMPORTADO",66,29,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Acura","TLX","Automóviles","De Lujo","IMPORTADO",66,4,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Alfa Romeo","Giulia","Automóviles","De Lujo","IMPORTADO",124,1,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Alfa Romeo","Stelvio","Automóviles","De Lujo","IMPORTADO",124,3,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Alfa Romeo","TONALE","Camiones ligeros","SUV's","IMPORTADO",124,18,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Audi","A1*","Automóviles","De Lujo","IMPORTADO",64,26,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Audi","A3-","Automóviles","De Lujo","IMPORTADO",4,111,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Audi","A4","Automóviles","De Lujo","IMPORTADO",4,8,"Cifras Revisadas"
"Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ","Nacional",2025,"01","Audi","A5 Coupe","Automóviles","De Lujo","IMPORTADO",4,6,"Cifras Revisadas"
